"Server","Creator","Cost (USD)","Public source code","Software license"
"BIND","Internet Systems Consortium","Free","Yes","BSD"
"Microsoft DNS","Microsoft","Included with Windows Server","No","Clickwrap license"
"djbdns","Daniel J. Bernstein","Free","Yes","Public domain"
"Dnsmasq","Simon Kelley","Free","Yes","GPL"
"Simple DNS Plus","JH Software","$79 â€“ $379","No","Clickwrap license"
"NSD","NLnet Labs","Free","Yes","BSD variant"
"Knot DNS","CZ.NIC","Free","Yes","GPL"
"PowerDNS","PowerDNS.COM BV / Bert Hubert","Free","Yes","GPL"
"MaraDNS","Sam Trenholme","Free","Yes","BSD variant"
"Nominum ANS","Nominum","Unpublished price","No","Clickwrap license"
"Nominum Vantio","Nominum","Unpublished price","No","Clickwrap license"
"pdnsd","Thomas Moestl and Paul Rombouts","Free","Yes","GPL"
"Posadis","Meilof Veeningen","Free","Yes","GPL"
"Unbound","NLnet Labs","Free","Yes","BSD"
"gdnsd","Brandon Black","Free","Yes","GPL"
"YADIFA","EURid","Free","Yes","BSD"
"yaku-ns","Salvatore Sanfilippo","Free","Yes","GPL"
"DNS Blast","EfficientIP","Unpublished price","No","Clickwrap license"
