"File manager","Symbolic link","Browse compressed folders","Slideshows","Shows combined Size of Selected Directories","Branch Sizes","Directory Compare","Synchronizer","Find as you type (Type-ahead find)","For Directories, size column shows:"
"Altap Salamander","?","Yes","No","Yes","?","Yes","Partial (for remote folders)","Yes","DIR"
"Directory Opus","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Dired","?","Yes","No","No","?","?","?","Yes","literal"
"Disk Order","?","Yes","?","Partial","?","Yes","?","?","--"
"DOS Navigator","No","Yes","No","Yes","?","Yes","?","Yes","Total size including subdirectories"
"Dolphin","?","Yes","No","Yes","No","No","No","Yes","number of entries"
"Double Commander","?","Yes","No","Yes","Yes","Yes","Yes","Yes","DIR"
"emelFM2","?","?","No","Yes","?","Yes","?","Yes","literal"
"FAR Manager","?","Yes","Partial","Yes","Yes","Yes","Partial","Yes","?"
"File Commander","?","Yes","No","Yes","Yes","Yes","Yes","Yes","?"
"Finder","?","No","Yes","Yes","?","No","No","Yes","Yes"
"GNOME Commander","?","No","No","Yes","Yes","Yes","Yes","Yes","?"
"Konqueror","?","Yes","Yes","Yes(with konq-plugin)","Yes","Yes(with kdiff3 plugin)","Yes(with kdiff3 plugin)","Yes","folder only size (default) selectable to file count/total size"
"Krusader","?","Yes","No","Yes","Yes","Yes","Yes","Yes","?"
"Midnight Commander","Yes","Yes","?","Yes","?","Yes","Yes","Yes","?"
"muCommander","No","?","?","?","?","?","Yes","?","?"
"Nautilus","?","No","No","Yes","No","No","No","Yes","number of entries"
"Path Finder","?","No","Yes","Partial","?","No","No","Yes","Yes"
"PCManFM","?","No","No","Yes","Yes","No","?","Yes","nothing"
"ROX-Filer","?","No","No","Yes","?","No","?","Yes, and browsing with tab completion","nothing"
"Thunar","?","No","?","Yes","?","No","No","Yes","literal*"
"Total Commander","No","Yes","Yes In plugin","Yes","Yes","Yes","Yes","Yes","?"
"Windows Explorer","Partial","Yes","Yes","Yes (in folder tooltips)","Partial","No","Yes","Yes","?"
"Xandros File Manager","?","?","?","?","?","?","?","?","?"
"Xfe","?","?","?","?","?","?","?","?","?"
"Xfile","?","?","?","?","?","?","?","?","?"
"Xfm","?","?","?","?","?","?","?","?","?"
"xplorerÂ²","?","Yes","No","Yes","Yes","Yes","Yes","Yes","?"
"XYplorer","?","Yes","Yes","Yes","Yes","No","Partial","Yes","Contents including subs"
"ZTreeWin","?","Yes","No","Yes","Yes","Yes","No","Yes","number of entries"
"","","","","","","","","",""
